backend,concurrency,run_id,update_id,update_to_searchable_ms,kg_write_ms,probe_ms,status
cassandra,64,2,evt_00020853,60.092,60.092,0,ok
cassandra,64,2,evt_00020854,65.238,65.238,0,ok
cassandra,64,2,evt_00020855,63.047,63.047,0,ok
cassandra,64,2,evt_00020856,63.708,63.708,0,ok
cassandra,64,2,evt_00020857,66.915,66.915,0,ok
cassandra,64,2,evt_00020858,61.973,61.973,0,ok
cassandra,64,2,evt_00020859,62.239,62.239,0,ok
cassandra,64,2,evt_00020860,61.063,61.063,0,ok
cassandra,64,2,evt_00020861,61.504,61.504,0,ok
cassandra,64,2,evt_00020862,61.786,61.786,0,ok
cassandra,64,2,evt_00020863,68.333,68.333,0,ok
cassandra,64,2,evt_00020864,61.803,61.803,0,ok
cassandra,64,2,evt_00020865,61.194,61.194,0,ok
cassandra,64,2,evt_00020866,63.852,63.852,0,ok
cassandra,64,2,evt_00020867,66.915,66.915,0,ok
cassandra,64,2,evt_00020868,70.011,70.011,0,ok
cassandra,64,2,evt_00020869,61.926,61.926,0,ok
cassandra,64,2,evt_00020870,67.024,67.024,0,ok
cassandra,64,2,evt_00020871,59.932,59.932,0,ok
cassandra,64,2,evt_00020872,66.113,66.113,0,ok
cassandra,64,2,evt_00020873,64.756,64.756,0,ok
cassandra,64,2,evt_00020874,59.85,59.85,0,ok
cassandra,64,2,evt_00020875,51.786,51.786,0,ok
cassandra,64,2,evt_00020876,72.026,72.026,0,ok
cassandra,64,2,evt_00020877,66.099,66.099,0,ok
cassandra,64,2,evt_00020878,71.058,71.058,0,ok
cassandra,64,2,evt_00020879,66.184,66.184,0,ok
cassandra,64,2,evt_00020880,66.785,66.785,0,ok
cassandra,64,2,evt_00020881,66.669,66.669,0,ok
cassandra,64,2,evt_00020882,65.199,65.199,0,ok
cassandra,64,2,evt_00020883,67.854,67.854,0,ok
cassandra,64,2,evt_00020884,63.618,63.618,0,ok
cassandra,64,2,evt_00020885,63.892,63.892,0,ok
cassandra,64,2,evt_00020886,67.67,67.67,0,ok
cassandra,64,2,evt_00020887,63.735,63.735,0,ok
cassandra,64,2,evt_00020888,65.517,65.517,0,ok
cassandra,64,2,evt_00020889,66.04,66.04,0,ok
cassandra,64,2,evt_00020890,64.733,64.733,0,ok
cassandra,64,2,evt_00020891,60.183,60.183,0,ok
cassandra,64,2,evt_00020892,63.873,63.873,0,ok
cassandra,64,2,evt_00020893,63.851,63.851,0,ok
cassandra,64,2,evt_00020894,65.016,65.016,0,ok
cassandra,64,2,evt_00020895,60.35,60.35,0,ok
cassandra,64,2,evt_00020896,66.662,66.662,0,ok
cassandra,64,2,evt_00020897,65.068,65.068,0,ok
cassandra,64,2,evt_00020898,62.501,62.501,0,ok
cassandra,64,2,evt_00020899,62.276,62.276,0,ok
cassandra,64,2,evt_00020900,62.192,62.192,0,ok
cassandra,64,2,evt_00020901,62.088,62.088,0,ok
cassandra,64,2,evt_00020902,63.294,63.294,0,ok
cassandra,64,2,evt_00020903,62.965,62.965,0,ok
cassandra,64,2,evt_00020904,64.077,64.077,0,ok
cassandra,64,2,evt_00020905,63.009,63.009,0,ok
