op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_02409,cassandra-base,8,2,lr000010::conv-50_qa_147,lr000010::conv-50,lr000010::conv-50_session_28_D28:34,0,2,7.2047,21.7019,21.7062,52.8506,105.0612,76.591,5.068,0.4781,0.4251,187.6924,1,1,1,568
r2_measured_02412,cassandra-base,8,2,lr000009::conv-47_qa_138,lr000009::conv-47,lr000009::conv-47_session_27_D27:6,1,9,8.3484,44.173,49.9669,79.8343,99.8383,76.0259,10.0373,1.0303,0.4052,187.4076,1,1,1,689
r2_measured_02480,cassandra-base,8,2,lr000006::conv-50_qa_146,lr000006::conv-50,lr000006::conv-50_session_28_D28:40,1,9,12.7049,44.0811,51.6457,114.5171,122.1867,11.1715,2.5975,2.4402,0.3155,138.7714,1,1,1,568
r2_measured_02492,cassandra-base,8,2,lr000003::conv-41_qa_13,lr000003::conv-41,lr000003::conv-41_session_8_D8:1,1,12,7.8912,45.452,48.9212,81.9761,88.0333,8.6429,2.6783,1.2164,0.3864,101.0362,1,1,1,663
r2_measured_02517,cassandra-base,8,2,lr000014::conv-41_qa_59,lr000014::conv-41,lr000014::conv-41_session_30_D30:6,2,21,11.8922,57.8076,76.1059,112.4836,297.0925,6.2898,7.6478,0.6797,0.3459,312.115,1,1,1,662
r2_measured_02547,cassandra-base,8,2,lr000007::conv-42_qa_77,lr000007::conv-42,lr000007::conv-42_session_10_D10:4,1,10,8.1356,28.6086,33.6585,71.4875,193.5623,6.6068,4.077,0.3551,0.3024,204.9878,1,1,1,629
r2_measured_02556,cassandra-base,8,2,lr000004::conv-42_qa_174,lr000004::conv-42,lr000004::conv-42_session_24_D24:3,2,13,7.9026,54.1625,67.0517,159.7475,168.9082,7.8421,3.8646,0.3922,0.317,,0,1,1,629
r2_measured_02568,cassandra-base,8,2,lr000012::conv-43_qa_100,lr000012::conv-43,lr000012::conv-43_session_9_D9:4,1,12,5.828,125.0974,129.9326,176.4468,210.327,30.4877,11.9744,1.849,0.3367,255.0414,1,1,1,680
r2_measured_02575,cassandra-base,8,2,lr000001::conv-48_qa_138,lr000001::conv-48,lr000001::conv-48_session_15_D15:3,1,14,11.3491,69.3372,74.7103,104.6282,108.7354,30.3337,10.7946,1.4619,0.3453,151.7417,1,1,1,679
r2_measured_02582,cassandra-base,8,2,lr000003::conv-47_qa_71,lr000003::conv-47,lr000003::conv-47_session_2_D2:19,1,9,26.147,75.2529,90.8825,127.4333,142.4113,13.3239,16.0859,0.4593,0.3635,172.7147,1,1,1,688
r2_measured_02620,cassandra-base,8,2,lr000009::conv-49_qa_140,lr000009::conv-49,lr000009::conv-49_session_21_D21:16,1,16,4.7566,33.7315,40.9154,70.2301,79.4154,15.0733,8.5723,1.1008,0.3437,104.5593,1,1,1,505
r2_measured_02661,cassandra-base,8,2,lr000014::conv-44_qa_30,lr000014::conv-44,lr000014::conv-44_session_20_D20:1,1,14,9.0235,27.6895,34.2532,98.6176,112.0809,10.5982,34.256,0.6013,0.4437,158.0642,1,1,1,675
r2_measured_02665,cassandra-base,8,2,lr000007::conv-41_qa_133,lr000007::conv-41,lr000007::conv-41_session_27_D27:9,1,12,5.8623,26.5785,54.8931,97.9194,105.2242,8.1033,34.1085,3.8381,0.4819,151.8466,1,1,1,661
r2_measured_02676,cassandra-base,8,2,lr000007::conv-50_qa_154,lr000007::conv-50,lr000007::conv-50_session_30_D30:2,1,14,29.6338,85.5926,94.6239,139.213,252.4757,16.3677,13.5713,1.2798,0.3484,284.1038,1,1,1,567
r2_measured_02691,cassandra-base,8,2,lr000012::conv-30_qa_11,lr000012::conv-30,lr000012::conv-30_session_5_D5:15,1,10,36.0993,61.633,65.633,155.2226,160.8052,8.0655,2.1363,0.2122,0.2924,171.5598,1,1,1,369
r2_measured_02761,cassandra-base,8,2,lr000006::conv-49_qa_17,lr000006::conv-49,lr000006::conv-49_session_4_D4:1,1,10,9.1635,46.2141,65.8454,101.4839,137.434,31.2698,18.5784,0.6691,0.4385,188.4792,1,1,1,509
r2_measured_02762,cassandra-base,8,2,lr000002::conv-30_qa_41,lr000002::conv-30,lr000002::conv-30_session_1_D1:17,1,9,6.9357,41.6836,51.4774,92.4754,133.5739,22.8845,19.9849,0.3114,0.4412,177.2835,1,1,1,369
